,season,market,name,team_code,team_id,alias,division,current_division,wins,losses,ties
5108,2014,Academy of Art University,,30123,f46ea256-9d8c-4b25-83fb-a3aa0eb46c31,,2,,7,19,0
5109,2016,Academy of Art University,,30123,f46ea256-9d8c-4b25-83fb-a3aa0eb46c31,,2,,7,19,0
5110,2015,Academy of Art University,,30123,f46ea256-9d8c-4b25-83fb-a3aa0eb46c31,,2,,6,20,0
5111,2013,Academy of Art University,,30123,f46ea256-9d8c-4b25-83fb-a3aa0eb46c31,,2,,6,21,0
5112,2010,Academy of Art University,,30123,f46ea256-9d8c-4b25-83fb-a3aa0eb46c31,,2,,5,21,0
5113,2011,Academy of Art University,,30123,f46ea256-9d8c-4b25-83fb-a3aa0eb46c31,,2,,4,24,0
5114,2009,Academy of Art University,,30123,f46ea256-9d8c-4b25-83fb-a3aa0eb46c31,,2,,0,26,0
5115,2016,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,34,3,0
5116,1999,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,25,4,0
5117,1997,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,27,4,0
5118,1998,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,25,5,0
5119,1994,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,21,5,0
5120,1995,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,24,5,0
5121,2015,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,25,5,0
5122,2009,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,22,8,0
5123,2012,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,23,9,0
5124,2002,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,19,9,0
5125,2008,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,20,9,0
5126,2000,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,22,10,0
5127,2010,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,17,10,0
5128,2007,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,19,10,0
5129,2003,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,18,10,0
5130,2013,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,20,10,0
5131,2001,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,17,11,0
5132,2014,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,22,11,0
5133,1996,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,18,12,0
5134,2004,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,15,14,0
5135,2006,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,14,14,0
5136,2005,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,13,15,0
5137,1993,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,10,18,0
5138,2011,Fairmont State University,,1076,6d71970a-b856-4e44-8d0a-2f1ba4ba9b04,,2,,8,19,0
5139,2004,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,0,0,0
5140,2006,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,0,0,0
5141,2005,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,0,0,0
5142,2007,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,0,0,0
5143,2010,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,0,0,0
5144,2008,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,0,0,0
5145,2009,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,0,0,0
5146,2014,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,5,21,0
5147,2015,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,5,21,0
5148,2013,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,2,24,0
5149,2016,Georgian Court University,,9004,dc99b5c2-680a-4cdf-8ce3-ec0b17e22f38,,2,,1,27,0
5150,2006,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,26,4,0
5151,2010,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,26,4,0
5152,2001,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,25,4,0
5153,2003,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,28,6,0
5154,2002,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,23,6,0
5155,1984,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,21,8,0
5156,2014,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,22,8,0
5157,2000,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,20,8,0
5158,2009,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,22,8,0
5159,2011,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,22,8,0
5160,2007,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,20,9,0
5161,2015,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,21,9,0
5162,2005,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,17,10,0
5163,2004,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,16,11,0
5164,1989,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,20,11,0
5165,1993,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,15,12,0
5166,1982,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,18,12,0
5167,1996,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,13,12,0
5168,2008,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,20,12,0
5169,1986,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,15,13,0
5170,1990,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,14,13,0
5171,1994,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,13,13,0
5172,1983,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,14,13,0
5173,1995,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,14,13,0
5174,1992,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,12,14,0
5175,2012,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,11,15,0
5176,1981,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,10,15,0
5177,1997,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,11,15,0
5178,1998,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,11,16,0
5179,2016,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,13,16,0
5180,2013,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,11,17,0
5181,1988,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,10,18,0
5182,1985,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,12,18,0
5183,1987,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,9,18,0
5184,1991,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,8,19,0
5185,1974,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,3,19,0
5186,1999,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,6,20,0
5187,1973,Humboldt State University,,291,e3dff2ea-da9a-47ff-8e43-2d58d4ec2b64,,2,,5,21,0
5188,2004,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,0,0,0
5189,1998,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,35,2,0
5190,1989,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,31,2,0
5191,1997,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,30,3,0
5192,2001,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,0,3,0
5193,2000,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,31,3,0
5194,2016,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,28,3,0
5195,1983,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,28,3,0
5196,1999,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,31,3,0
5197,2015,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,27,4,0
5198,2002,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,0,4,0
5199,1986,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,28,5,0
5200,1981,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,27,5,0
5201,2009,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,29,5,0
5202,1994,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,23,6,0
5203,1992,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,21,6,0
5204,1973,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,20,6,0
5205,1988,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,24,7,0
5206,1993,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,23,7,0
5207,1984,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,24,7,0
5208,1987,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,23,7,0
5209,1990,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,22,8,0
5210,1982,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,22,8,0
5211,2007,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,24,8,0
5212,1991,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,23,8,0
5213,1985,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,22,8,0
5214,2012,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,20,8,0
5215,1996,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,21,8,0
5216,2011,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,23,8,0
5217,2003,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,2,8,0
5218,2014,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,22,8,0
5219,2013,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,22,9,0
5220,2008,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,19,9,0
5221,1995,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,17,10,0
5222,2010,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,19,10,0
5223,1977,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,14,11,0
5224,1975,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,14,11,0
5225,1980,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,16,12,0
5226,1974,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,12,13,0
5227,1976,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,11,14,0
5228,1978,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,12,14,0
5229,2006,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,13,14,0
5230,1979,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,12,15,0
5231,2005,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,2,,7,19,0
5232,2007,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,29,4,0
5233,1994,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,28,5,0
5234,1997,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,27,5,0
5235,1995,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,23,6,0
5236,2005,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,27,6,0
5237,1996,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,22,6,0
5238,1998,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,21,7,0
5239,2003,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,24,7,0
5240,2016,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,22,8,0
5241,2001,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,20,8,0
5242,2006,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,21,8,0
5243,2002,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,20,9,0
5244,2014,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,23,9,0
5245,1993,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,24,9,0
5246,2004,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,21,10,0
5247,2013,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,18,11,0
5248,2008,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,19,11,0
5249,2012,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,20,11,0
5250,2015,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,18,12,0
5251,2011,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,13,13,0
5252,2000,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,14,13,0
5253,1999,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,13,14,0
5254,2010,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,12,14,0
5255,2009,Northern State University,,1266,cb5ca907-913a-4068-b5bf-8653d7f26f87,,2,,13,14,0
5256,2013,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,28,3,0
5257,2014,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,31,4,0
5258,2002,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,29,4,0
5259,2003,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,28,4,0
5260,2011,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,27,6,0
5261,2010,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,24,6,0
5262,2005,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,27,7,0
5263,2007,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,25,7,0
5264,2016,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,22,8,0
5265,2001,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,25,8,0
5266,2009,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,24,8,0
5267,1997,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,19,8,0
5268,1999,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,17,9,0
5269,2015,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,24,9,0
5270,2004,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,25,9,0
5271,2012,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,20,10,0
5272,1996,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,18,10,0
5273,2006,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,18,10,0
5274,2008,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,18,10,0
5275,1998,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,17,12,0
5276,1993,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,16,12,0
5277,2000,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,13,13,0
5278,1994,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,11,15,0
5279,1995,Tarleton State University,,1395,869cf278-be37-4212-b07f-3100506f3edb,,2,,11,16,0
5280,1980,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,24,5,0
5281,1978,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,23,6,0
5282,1976,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,22,7,0
5283,1979,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,21,8,0
5284,1983,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,22,8,0
5285,1988,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,8,10,0
5286,1984,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,20,10,0
5287,1987,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,18,10,0
5288,1977,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,20,10,0
5289,1981,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,14,12,0
5290,1982,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,17,13,0
5291,1986,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,13,14,0
5292,1985,University of Puget Sound,,557,38541467-a359-446a-a531-5c2c8945bcf8,,2,,16,14,0
5293,2011,University of Sioux Falls,,30128,529bff5e-1bc2-4f38-9702-9b03ec438a10,,2,,20,9,0
5294,2013,University of Sioux Falls,,30128,529bff5e-1bc2-4f38-9702-9b03ec438a10,,2,,15,12,0
5295,2015,University of Sioux Falls,,30128,529bff5e-1bc2-4f38-9702-9b03ec438a10,,2,,17,13,0
5296,2012,University of Sioux Falls,,30128,529bff5e-1bc2-4f38-9702-9b03ec438a10,,2,,12,15,0
5297,2016,University of Sioux Falls,,30128,529bff5e-1bc2-4f38-9702-9b03ec438a10,,2,,15,17,0
5298,2014,University of Sioux Falls,,30128,529bff5e-1bc2-4f38-9702-9b03ec438a10,,2,,8,21,0
5299,1961,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,19,2,0
5300,1954,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,2,3,0
5301,1964,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,17,4,0
5302,2003,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,25,4,0
5303,1965,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,25,5,0
5304,2009,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,28,5,0
5305,1960,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,18,6,0
5306,2016,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,26,6,0
5307,1976,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,23,6,0
5308,1963,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,19,6,0
5309,1996,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,21,6,0
5310,2008,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,24,7,0
5311,2002,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,19,7,0
5312,1955,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,2,8,0
5313,1972,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,17,8,0
5314,1978,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,20,8,0
5315,1966,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,27,8,0
5316,1962,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,17,8,0
5317,2001,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,24,8,0
5318,1977,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,18,8,0
5319,1980,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,18,8,0
5320,1967,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,23,8,0
5321,1971,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,18,8,0
5322,1958,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,13,9,0
5323,2006,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,20,9,0
5324,1979,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,18,9,0
5325,2004,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,18,9,0
5326,1994,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,18,9,0
5327,2010,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,21,9,0
5328,1988,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,19,9,0
5329,1995,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,17,10,0
5330,1986,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,16,10,0
5331,2012,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,19,10,0
5332,1970,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,15,10,0
5333,1987,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,17,11,0
5334,2007,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,18,11,0
5335,1969,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,19,11,0
5336,1957,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,3,11,0
5337,1968,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,18,11,0
5338,1973,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,15,11,0
5339,2005,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,17,11,0
5340,2015,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,17,11,0
5341,1990,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,17,11,0
5342,1981,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,14,12,0
5343,1974,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,15,12,0
5344,1985,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,15,12,0
5345,2013,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,16,12,0
5346,1959,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,10,13,0
5347,1975,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,15,13,0
5348,1984,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,14,13,0
5349,1956,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,2,13,0
5350,1992,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,12,13,0
5351,2000,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,11,14,0
5352,1982,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,14,15,0
5353,1989,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,12,16,0
5354,2011,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,11,16,0
5355,1991,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,11,16,0
5356,1997,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,10,16,0
5357,1998,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,9,17,0
5358,1983,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,10,17,0
5359,1999,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,9,17,0
5360,2014,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,10,18,0
5361,1993,Valdosta State University,,734,719192de-b37a-4244-b50c-04416962f974,,2,,4,22,0
5362,1953,Virginia State University,,743,47b50192-e9d7-4840-94ac-ec2261e2c440,,2,,19,5,0
5363,2016,Virginia State University,,743,47b50192-e9d7-4840-94ac-ec2261e2c440,,2,,22,6,0
5364,1962,Virginia State University,,743,47b50192-e9d7-4840-94ac-ec2261e2c440,,2,,22,6,0
5365,2015,Virginia State University,,743,47b50192-e9d7-4840-94ac-ec2261e2c440,,2,,24,6,0
