,season,scheduled_date,attendance,market,name,team_code,team_id,alias,current_division,points_game,win,opp_market,opp_name,opp_code,opp_id,opp_alias,opp_current_division,opp_points_game
5268,2011,23-FEB-12 12:00 AM,1560.0,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,76,False,University of South Alabama,Jaguars,646,10c614fa-9646-46cf-a1fb-5af96772bbb8,USA,D1,79
5269,2012,29-NOV-12 12:00 AM,1337.0,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,66,False,University of South Alabama,Jaguars,646,10c614fa-9646-46cf-a1fb-5af96772bbb8,USA,D1,77
5270,2010,06-JAN-11 12:00 AM,719.0,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,65,True,University of South Alabama,Jaguars,646,10c614fa-9646-46cf-a1fb-5af96772bbb8,USA,D1,57
5271,2006,21-FEB-07 12:00 AM,1009.0,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,79,True,University of South Alabama,Jaguars,646,10c614fa-9646-46cf-a1fb-5af96772bbb8,USA,D1,69
5272,2010,27-FEB-11 12:00 AM,2042.0,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,74,True,University of South Alabama,Jaguars,646,10c614fa-9646-46cf-a1fb-5af96772bbb8,USA,D1,64
5273,2009,28-JAN-10 12:00 AM,3150.0,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,70,True,University of South Alabama,Jaguars,646,10c614fa-9646-46cf-a1fb-5af96772bbb8,USA,D1,59
5274,1998,,,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,50,False,University of South Florida,Bulls,651,55af9c69-3675-4b9b-a882-96640b782fff,USF,D1,86
5275,1999,,0.0,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,80,False,University of South Florida,Bulls,651,55af9c69-3675-4b9b-a882-96640b782fff,USF,D1,109
5276,1997,,,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,61,False,University of South Florida,Bulls,651,55af9c69-3675-4b9b-a882-96640b782fff,USF,D1,81
5277,1996,,,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,68,False,University of South Florida,Bulls,651,55af9c69-3675-4b9b-a882-96640b782fff,USF,D1,76
5278,2005,15-DEC-05 12:00 AM,2394.0,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,44,False,University of South Florida,Bulls,651,55af9c69-3675-4b9b-a882-96640b782fff,USF,D1,62
5279,2007,17-NOV-07 12:00 AM,359.0,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,c851131a-5ecd-4670-81bc-b40f4837dd65,D1,69,False,University of South Florida,Bulls,651,55af9c69-3675-4b9b-a882-96640b782fff,USF,D1,100
